Metrics/EnvironmentSteps,Metrics/AverageReturn
1726,-1.6819285555345294
1732,-1.3026598600810455
1735,-1.6272208571380469
1737,-2.005836899088517
1741,-1.4469139520601384
1743,-2.005910889233056
1747,-1.4539980056763486
1749,-1.9234599201296578
1754,-1.3210151224415887
1767,-1.0749497339828908
1770,-1.639465882227446
1773,-1.6819518655601513
1775,-2.0085769390558776
1778,-1.6414986300945937
1785,-1.2470877061440764
1789,-1.4780676810481443
1792,-1.634685324927536
1796,-1.4557866866651663
1802,-1.0061232155127453
1805,-1.6251542122860654
1808,-0.9962803898199905
1810,-2.0058017318328227
1813,-1.6355837516402936
1816,-1.6381137330142348
1818,-1.9235073705275731
1821,-0.9633249160320746
1824,-0.981757464375734
1828,-1.5007920164579676
1830,-2.0085905274818954
1833,-1.6378612518583193
1836,-1.582325710084767
1839,-1.6630700427627432
1844,-1.362522634154935
1847,-1.6339410229471423
1849,-1.9234754777648468
1853,-1.4588051762680703
1857,-1.4610298291755774
1860,-1.6345237191660633
1863,-1.6718464154481547
1865,-2.008647446914315
1867,-1.994262298502038
1870,-1.6408143875435133
1874,-1.4601914857038005
1876,-2.008678925530532
1880,-1.4498292774493406
1883,-1.6171402992706012
1888,-1.3157918002576845
1890,-2.0085540720227057
1892,-1.9245604038189366
1895,-1.6337283291602442
1900,-0.9490283444548562
1905,-1.3680823239217728
1911,-1.3286094278700573
1913,-1.9558403621939422
1916,-1.0216394651274958
1919,-1.594219120729685
1923,-1.4799354152394297
1928,-1.3718011465575803
1934,-1.3068127575235577
1937,-1.67180130806804
1940,-1.6343795677008572
1945,-0.9883566022836725
1947,-2.0087301606348915
1951,-1.4346675454402935
1954,-1.681967850031463
1958,-0.9906265874943236
1960,-1.9233977113146745
1964,-1.483871098126478
1969,-1.3818173806513705
1973,-1.4474264381045905
1975,-2.0085770727335714
1979,-1.4289361938494956
1988,-1.1986109184312372
1990,-1.959646612799384
1992,-2.008599979654908
1995,-1.63628727768612
1998,-1.6386071944330103
2003,-0.9554332191845718
2008,-1.3798407144399079
2010,-1.9942968129506538
2013,-0.9967977318942913
2016,-1.595828804054164
2020,-1.4556130614382394
2025,-1.3934186443382974
2029,-1.4581629054870424
2031,-2.0085945848453646
2034,-1.6632998575726479
2037,-1.6352326371145356
2040,-1.6395299940039456
2043,-1.6411216815643268
2046,-1.6372808643723953
2048,-2.00865768373052
2050,-1.92374721487511
2052,-1.923486304749298
2056,-1.488451948691769
2059,-1.6399894294059185
2062,-1.0141717695744936
2067,-1.3498532059300363
2069,-1.9234060568826679
2074,-0.9743378502508557
2076,-2.0086651525612744
2079,-1.662940178005717
2081,-1.9586940296349011
2084,-1.6640511800998743
2086,-2.008632319651255
2089,-1.6700714635045537
2093,-1.4598128350540165
2096,-1.6388073002140437
2099,-1.6366713723931336
2107,-1.2321801633160825
2109,-1.9243683362848751
2113,-1.4580348077128136
2116,-1.617607857777631
2119,-1.6359579134681956
2121,-2.0057702302944556
2124,-1.601840658226281
2127,-1.6632474044527132
2129,-1.9942468459428646
2131,-1.9576817297154387
2135,-1.4775515435847166
2143,-1.2262969140354822
2146,-1.6166899912194828
2149,-1.6655329727419332
2153,-0.9910178755964023
2156,-0.9823944696258301
2160,-1.42645372146657
2168,-1.207547959167785
2171,-1.021702518077572
2174,-1.6410628584522176
2177,-1.6388596126734118
2181,-1.4360604855868095
2184,-1.6415642341252965
2186,-2.008569160052454
2188,-1.9942113503686594
2191,-1.0095698669353559
2194,-1.6382416648867768
2197,-1.596777162296749
2200,-0.9857592735888406
2203,-1.0149329209954652
2205,-2.0084830255782635
2208,-1.6347719128048006
2211,-1.6819369669357525
2220,-1.1242097993403297
2222,-2.008598681994225
2224,-2.0085786896389703
2227,-1.6394869321440162
2229,-2.005868807063618
2231,-2.0057394497354877
2237,-1.2993433276431154
2240,-1.6000448704032724
2244,-1.472115090765381
2247,-1.6717405311261702
2250,-1.6719706017284015
2253,-1.6718524783974589
2255,-2.0085760795505796
2261,-1.2600094164661781
2264,-1.6629295477449275
2268,-1.4394643546142796
2274,-1.254067874912516
2277,-1.6253058134534715
2283,-1.270063640511743
2286,-1.639053710979902
2289,-1.6406392918180834
2292,-1.6403177550554418
2296,-1.4910524521886817
2299,-1.6630881977628977
2302,-1.6401908048499365
2305,-1.6632302320331647
2309,-1.4591934051381614
2312,-1.64120630661413
2316,-1.517287792513628
2318,-1.9941926409608648
2323,-1.390729729250997
2328,-1.3246101858444803
2330,-1.9941452743224697
2332,-1.923414141862151
2335,-1.6408087194084189
2339,-1.4602491316038286
2344,-1.377243128605003
2347,-1.0082469819156001
2349,-1.9238249331155068
2353,-1.474465419917665
2356,-1.639637753533891
2361,-1.374986457639159
2363,-1.9571610626475207
2368,-0.8883557516279584
2370,-2.008703308490303
2373,-1.6395348530970704
2376,-1.6704962280278715
2379,-1.6165935266035207
2382,-0.9628256715088291
2386,-1.4574527967179864
2389,-1.6164695310344275
2392,-1.0165000607682912
2394,-1.9941257077473797
2396,-2.0086089441847617
2398,-2.008546983871508
2403,-1.3685856228329343
2413,-1.1913991254478484
2417,-0.9908475857753292
2420,-1.017205480417855
2424,-1.4554297966396623
2428,-1.4688413125011281
2432,-1.517221774090634
2435,-1.6403682681867455
2437,-2.0085763988785565
2439,-1.9236882221041411
